date,url
1q1990,
2q1990,
3q1990,
4q1990,
1q1991,
2q1991,
3q1991,
4q1991,
1q1992,
2q1992,
3q1992,
4q1992,
1q1993,https://www.federalreserve.gov/fomc/MINUTES/1993/19930323min.htm
2q1993,https://www.federalreserve.gov/fomc/MINUTES/1993/19930707min.htm
3q1993,https://www.federalreserve.gov/fomc/MINUTES/1993/19930921min.htm
4q1993,https://www.federalreserve.gov/fomc/MINUTES/1993/19931221min.htm
1q1994,https://www.federalreserve.gov/fomc/MINUTES/1994/19940322min.htm
2q1994,https://www.federalreserve.gov/fomc/MINUTES/1994/19940706min.htm
3q1994,https://www.federalreserve.gov/fomc/MINUTES/1994/19940927min.htm
4q1994,https://www.federalreserve.gov/fomc/MINUTES/1994/19941220min.htm
1q1995,https://www.federalreserve.gov/fomc/MINUTES/1995/19950328min.htm
2q1995,https://www.federalreserve.gov/fomc/MINUTES/1995/19950706min.htm
3q1995,https://www.federalreserve.gov/fomc/MINUTES/1995/19950926min.htm
4q1995,https://www.federalreserve.gov/fomc/MINUTES/1995/19951219min.htm
1q1996,https://www.federalreserve.gov/fomc/minutes/19960326.htm
2q1996,https://www.federalreserve.gov/fomc/minutes/19960702.htm
3q1996,https://www.federalreserve.gov/fomc/minutes/19960924.htm
4q1996,https://www.federalreserve.gov/fomc/minutes/19961217.htm
1q1997,https://www.federalreserve.gov/fomc/minutes/19970325.htm
2q1997,https://www.federalreserve.gov/fomc/minutes/19970701.htm
3q1997,https://www.federalreserve.gov/fomc/minutes/19970930.htm
4q1997,https://www.federalreserve.gov/fomc/minutes/19971216.htm
1q1998,https://www.federalreserve.gov/fomc/minutes/19980331.htm
2q1998,https://www.federalreserve.gov/fomc/minutes/19980630.htm
3q1998,https://www.federalreserve.gov/fomc/minutes/19980929.htm
4q1998,https://www.federalreserve.gov/fomc/minutes/19981222.htm
1q1999,https://www.federalreserve.gov/fomc/minutes/19990330.htm
2q1999,https://www.federalreserve.gov/fomc/minutes/19990629.htm
3q1999,https://www.federalreserve.gov/fomc/minutes/19991005.htm
4q1999,https://www.federalreserve.gov/fomc/minutes/19991221.htm
1q2000,https://www.federalreserve.gov/fomc/minutes/20000321.htm
2q2000,https://www.federalreserve.gov/fomc/minutes/20000628.htm
3q2000,https://www.federalreserve.gov/fomc/minutes/20001003.htm
